"selec","View","Channel","bottom.freq","top.freq","Peak Freq (Hz)","Delta Time (s)","Delta Freq (Hz)","start","end","Adulto","Polluelo","Clicks","Sobrelapamiento","Lejos","Agua/Viento","Otro animal","selec.file","sound.files"
14,"Spectrogram 1",1,0,10.592647,947.461,0.3026,10592.647,70.884347534,71.186912552,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
15,"Spectrogram 1",1,0,9.727941,1076.66,0.7406,9727.941,71.186912552,71.92751946,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
16,"Spectrogram 1",1,0,10.592647,1248.926,0.9935,10592.647,72.473941086,73.467438158,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
17,"Spectrogram 1",1,0,10.592647,1550.391,1.0974,10592.647,74.068052297,75.165414972,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
18,"Spectrogram 1",1,0,1.729412,602.93,0.5148,1729.412,75.766025236,76.280837355,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
19,"Spectrogram 1",1,0,10.484559,732.129,0.7632,10484.559,78.393633011,79.156819398,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
20,"Spectrogram 1",1,0,1.297059,861.328,0.7948,1297.059,80.468268145,81.263065803,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
21,"Spectrogram 1",1,0,10.700735,1507.324,0.8941,10700.735,81.633369257,82.527516622,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
22,"Spectrogram 1",1,0,10.484559,1248.926,0.998,10484.559,109.049582815,110.047595783,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
23,"Spectrogram 1",1,0,1.513235,818.262,0.2529,1513.235,111.081735917,111.334626081,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
24,"Spectrogram 1",1,0,10.484559,473.73,0.989,10484.559,111.339141977,112.328123153,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
27,"Spectrogram 1",1,0,1.513235,1076.66,0.2077,1513.235,118.438789074,118.64652028,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
28,"Spectrogram 1",1,0,1.945588,689.062,0.2845,1945.588,118.723290509,119.007791943,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
29,"Spectrogram 1",1,0,10.700735,1722.656,0.9348,10700.735,119.012307839,119.947098266,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
30,"Spectrogram 1",1,0,10.484559,1248.926,1.0341,10484.559,123.856629683,124.890769818,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
31,"Spectrogram 1",1,0,10.484559,818.262,0.1987,10484.559,129.27943685,129.478136265,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
32,"Spectrogram 1",1,0,1.621324,1033.594,0.6819,1621.324,129.482652161,130.164552424,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
33,"Spectrogram 1",1,0,1.405147,689.062,0.7632,1405.147,131.013540831,131.776727218,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
36,"Spectrogram 1",1,0,10.376471,430.664,0.2574,10376.471,139.107595405,139.365001465,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
37,"Spectrogram 1",1,0,10.484559,861.328,0.8716,10484.559,139.360485569,140.232053455,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
38,"Spectrogram 1",1,0,10.376471,1162.793,0.9664,10376.471,145.528875283,146.49527698,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
39,"Spectrogram 1",1,0,10.592647,775.195,0.6909,10592.647,147.026386161,147.717318216,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
40,"Spectrogram 1",1,0,1.8375,301.465,0.3206,1837.5,147.717318216,148.037946817,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
41,"Spectrogram 1",1,0,1.621324,602.93,0.28,1621.324,148.123748837,148.403734375,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
42,"Spectrogram 1",1,0,10.592647,516.797,1.0296,10592.647,148.403734375,149.433358614,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
43,"Spectrogram 1",1,0,10.484559,1291.992,0.9438,10484.559,150.017351765,150.961173984,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
44,"Spectrogram 1",1,0,10.484559,947.461,0.7271,10484.559,151.304382063,152.031441284,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
45,"Spectrogram 1",1,0,8.106618,1464.258,0.1445,8106.618,155.610852567,155.755361232,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
46,"Spectrogram 1",1,0,10.700735,1248.926,1.0567,10700.735,155.759877128,156.816596741,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
47,"Spectrogram 1",1,0,10.484559,1205.859,0.9529,10484.559,160.730625894,161.683479904,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
48,"Spectrogram 1",1,0,10.484559,818.262,1.1154,10484.559,164.285636888,165.401063147,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
49,"Spectrogram 1",1,0,10.592647,861.328,0.3026,10592.647,178.505148482,178.8077135,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
